Dataset,Time elapsed,RC1,K,L,w,r,dist_computed,Time int
2,49.90939231930921,0,8,200,500,16,220,
2,68.02397451037541,0,4,200,500,16,233,
2,73.4277227553539,0,8,200,500,16,2,
2,135.6295549320057,0,12,200,500,16,56,
2,129.67597221396863,0,16,200,500,16,4,
2,36.23972805868834,0,8,10,500,16,22,0.1610435250000002
2,28.496176799293607,0,8,50,500,16,6,0.1693242280000007
2,39.51432780921459,0,8,100,500,16,4,0.22111435199999718
2,83.50752212293446,0,8,150,500,16,226,0.30217994000000203
2,122.77070920681581,0,8,200,500,16,4,0.4397833260000006
2,152.81664477009326,0,8,400,500,16,4,0.44295254900000103
