Dataset,Time elapsed,RC1,K,L,w,r,dist_computed,Time int
3,118.94293505760531,0,8,200,5000,32,80252,
3,819.3989375173114,0,4,200,5000,32,1630695,
3,159.35621689492837,0,8,200,5000,32,66025,
3,126.63802161579952,0,12,200,5000,32,3933,
3,391.97176474006847,0,16,200,5000,32,652,
3,566.9693942191079,0,8,10,5000,32,1810275,0.6516427580000013
3,212.68359336117283,0,8,50,5000,32,101532,0.918137950000002
3,162.02862395904958,0,8,100,5000,32,121540,1.253851284999996
3,112.19288034178317,0,8,150,5000,32,108082,1.352495058999999
3,122.57250455394387,0,8,200,5000,32,125947,1.4425330890000012
3,152.1458081267774,0,8,400,5000,32,176182,3.9432644509999975
