Dataset,Time elapsed,RC1,K,L,w,r,dist_computed
0,1.3697916666666667,,4,100,45,2,415
0,1.4947916666666667,,8,100,45,2,25
0,14.546875,,12,100,45,2,2
0,17.145833333333332,,16,100,45,2,2
1,5.625,,4,100,70,8,375
1,4.036458333333333,,8,100,70,8,13
1,4.307291666666667,,12,100,70,8,2
1,97.328125,,16,100,70,8,1
2,19.932291666666668,,4,100,1000,16,391
2,9.161458333333334,,8,100,1000,16,69
2,10.515625,,12,100,1000,16,2
2,275.8802083333333,,16,100,1000,16,2
