Dataset,Time elapsed,RC1,K,L,w,r,dist_computed,Time int
1,0.9392432766035199,0,8,200,75,8,102,
1,4.481713449116796,0,4,200,75,8,8949,
1,1.835089246276766,0,8,200,75,8,115,
1,3.0496733309701085,0,12,200,75,8,7,
1,8.177650653757155,0,16,200,75,8,277,
1,6.736120690125972,0,8,10,75,8,14748,0.0759831670000004
1,1.1853507361374795,0,8,50,75,8,291,0.14125005899999898
1,0.9914038251154125,0,8,100,75,8,344,0.09058892399999863
1,1.0286742649041116,0,8,150,75,8,213,0.10350998600000061
1,0.8447504830546677,0,8,200,75,8,99,0.13100545700000055
1,1.2524867476895452,0,8,400,75,8,160,0.201866686999999
