Dataset,Time elapsed,RC1,K,L,w,r,dist_computed,Time int
0,3.0556454192847013,0,8,200,50,4,5,
0,1.414610497187823,0,4,200,50,4,16,
0,1.4521082411520183,0,8,200,50,4,2,
0,6.375712476205081,0,12,200,50,4,2,
0,8.788471398409456,0,16,200,50,4,2,
0,0.9315019617788494,0,8,10,50,4,5,0.0466955880000004
0,0.46547239692881703,0,8,50,50,4,2,0.05232917000000015
0,3.482416065875441,0,8,100,50,4,2,0.05675004900000058
0,2.9404318961314857,0,8,150,50,4,11,0.0895012270000004
0,4.167952892836183,0,8,200,50,4,6,0.0915739990000004
0,0.7846856131218374,0,8,400,50,4,2,0.11447239600000003
