Dataset,Time elapsed,RC1,K,L,w,r,dist_computed
0,1.4921875,,4,100,45,2,3060
0,1.5390625,,8,100,45,2,32
0,3.4765625,,12,100,45,2,8
0,32.9296875,,16,100,45,2,8
1,4.71875,,4,100,70,8,816
1,4.0625,,8,100,70,8,4
1,13.125,,12,100,70,8,4
1,63.5078125,,16,100,70,8,4
2,73.8984375,,4,100,500,16,1356
2,10.8359375,,8,100,500,16,474
2,11.6640625,,12,100,500,16,20
2,34.890625,,16,100,500,16,8
