Dataset,Time elapsed,RC1,K,L,w,r,dist_computed
0,1.6927083333333333,0,8,100,45,2,85
1,2.6875,0,8,100,70,8,38
2,16.395833333333332,0,8,100,500,16,553
3,71.95833333333333,0,8,100,1000,16,8
