Dataset,Time elapsed,RC1,K,L,w,r,dist_computed,Time int
3,33.37703644391149,0,8,200,5000,32,98478,
3,919.9199924506247,0,4,200,5000,32,2059478,
3,34.17523527145386,0,8,200,5000,32,147387,
3,43.43495123274624,0,12,200,5000,32,3958,
3,103.57463812455535,0,16,200,5000,32,4038,
3,66.00079520326108,0,8,10,5000,32,718405,5.969053581357002
3,24.290674347430468,0,8,50,5000,32,81135,15.183312205597758
3,25.884366602636874,0,8,100,5000,32,96607,15.045607633888721
3,25.67666081059724,0,8,150,5000,32,38106,18.34583095740527
3,36.394747368991375,0,8,200,5000,32,140051,22.60570148471743
3,51.168133748695254,0,8,400,5000,32,162824,36.675471467897296
3,294.79474584851414,0,8,200,5000,4,4980682,
3,109.86815013829619,0,8,200,5000,8,706351,
3,53.61172281391919,0,8,200,5000,16,10506,
3,34.49558802973479,0,8,200,5000,32,128609,
