Dataset,Time elapsed,RC1,K,L,w,r,dist_computed,Time int
1,0.8709742920473218,0,8,200,75,8,118,
1,0.6485227374359965,0,4,200,75,8,3756,
1,0.43884406983852386,0,8,200,75,8,176,
1,0.6217626221477985,0,12,200,75,8,20,
1,1.0242288941517472,0,16,200,75,8,18,
1,0.44325743336230516,0,8,10,75,8,16948,0.11372891440987587
1,0.2537568248808384,0,8,50,75,8,514,0.1609739437699318
1,0.34107535518705845,0,8,100,75,8,376,0.22119794879108667
1,0.41603430174291134,0,8,150,75,8,284,0.2631581760942936
1,0.45436591748148203,0,8,200,75,8,336,0.30270698573440313
1,0.7488747239112854,0,8,400,75,8,298,0.5370522886514664
1,0.6152114570140839,0,8,200,75,4,14,
1,0.4526366014033556,0,8,200,75,8,286,
1,0.6524718524888158,0,8,200,75,16,3831,
1,11.176685991697013,0,8,200,75,32,916304,
